customer_id,customer_name,gender,age_group,membership_tier,registration_date,preferred_store_id,customer_taxonomies,total_purchases,total_spend,avg_basket_size,purchase_frequency,days_since_last_purchase,unique_products,unique_stores,avg_qty_per_txn,promo_sensitivity
CUS-00015,ปภาวรินทร์ ถมังรักษสัตว์,M,56-65,bronze,2025-12-14,STR-006,M > 56-65 > bronze,49,19411.79,396.16,1.09,27,41,10,2.9,0.2449
CUS-00016,ผดุงชาติ มิ่งขวัญ,M,65+,silver,2023-12-12,STR-008,M > 65+ > silver,99,42265.23,426.92,1.21,27,63,10,2.38,0.2727
CUS-00017,ยุภา ถนัดอาวุธ,M,36-45,bronze,2022-02-27,STR-006,M > 36-45 > bronze,54,16273.81,301.37,1.06,10,45,10,2.44,0.2037
CUS-00018,ภาสวุฒิ แจ้งสว่าง,M,56-65,platinum,2022-01-28,STR-004,M > 56-65 > platinum,215,106868.72,497.06,1.34,21,87,10,2.92,0.1953
CUS-00019,สุภัทริดา หนักแน่น,M,46-55,bronze,2025-11-18,STR-010,M > 46-55 > bronze,38,14741.12,387.92,1.09,121,28,10,3.03,0.1053
CUS-00020,ปรายกานต์ นิลวรรณ,M,18-25,gold,2023-04-28,STR-004,M > 18-25 > gold,129,47023.68,364.52,1.28,96,73,10,2.47,0.1783
CUS-00021,สรายุทธ ศรทอง,M,36-45,bronze,2025-12-27,STR-003,M > 36-45 > bronze,52,19779.31,380.37,1.08,2,36,10,2.69,0.2885
CUS-00022,ธราวิทญ์ ถนอมพลกรัง,M,18-25,silver,2021-06-01,STR-008,M > 18-25 > silver,92,34374.0,373.63,1.19,25,63,10,2.78,0.1413
CUS-00023,พิพิธธน บุณยะภาชน์,M,18-25,silver,2025-04-06,STR-008,M > 18-25 > silver,96,31849.86,331.77,1.12,36,61,10,2.57,0.1667
CUS-00024,พิมพ์สุดา นากกนก,M,26-35,platinum,2022-10-31,STR-008,M > 26-35 > platinum,238,97553.07,409.89,1.42,7,92,10,2.83,0.1765
CUS-00025,สิริลัดดา นากกนก,M,18-25,silver,2020-10-30,STR-010,M > 18-25 > silver,90,39914.23,443.49,1.14,10,54,10,2.62,0.1889
CUS-00026,วุฒิ ตัณสถิตย์,F,18-25,bronze,2023-05-29,STR-002,F > 18-25 > bronze,40,14910.78,372.77,1.03,221,28,10,2.85,0.1
CUS-00027,เกศรา ธรรมฤดี,Other,18-25,silver,2024-08-31,STR-010,Other > 18-25 > silver,104,47878.52,460.37,1.18,27,63,10,3.15,0.1827
CUS-00028,พีรภัทร์ จ้อยนุแสง,F,56-65,bronze,2025-11-10,STR-007,F > 56-65 > bronze,57,28123.76,493.4,1.04,2,43,10,3.23,0.193
CUS-00029,ธีรลักษณ์ น้ำทิพย์,F,46-55,bronze,2024-10-22,STR-005,F > 46-55 > bronze,50,20328.55,406.57,1.09,47,34,10,2.76,0.12
CUS-00030,มัตติกา นุชแนวนุ่ม,F,18-25,silver,2021-02-10,STR-004,F > 18-25 > silver,87,34898.77,401.14,1.16,53,65,10,2.41,0.2414
CUS-00031,ณัฐวรินทร แจ้งสว่าง,F,36-45,silver,2021-10-05,STR-004,F > 36-45 > silver,92,36997.97,402.15,1.19,8,59,10,2.65,0.163
CUS-00032,สนั่น นาคสุทิน,M,18-25,bronze,2024-07-31,STR-008,M > 18-25 > bronze,52,25394.32,488.35,1.06,26,41,9,2.94,0.1538
CUS-00033,จณิสตา แต้กุล,F,46-55,bronze,2022-08-06,STR-005,F > 46-55 > bronze,47,19411.99,413.02,1.07,52,38,10,2.6,0.1915
CUS-00034,เบญญาทิพย์ บินดี,F,65+,gold,2020-10-18,STR-004,F > 65+ > gold,133,66170.45,497.52,1.28,9,73,10,3.02,0.1805
CUS-00035,ปฐวีกานต์ ศรทอง,F,65+,silver,2022-03-21,STR-007,F > 65+ > silver,80,32789.64,409.87,1.1,39,53,10,2.7,0.2
CUS-00036,ภัคชัญญา นิยมธรรม,M,26-35,silver,2022-12-24,STR-003,M > 26-35 > silver,101,51457.42,509.48,1.16,27,60,10,2.92,0.198
CUS-00037,ถนอมชัย ถนัดภาษา,M,26-35,gold,2023-03-28,STR-008,M > 26-35 > gold,130,51100.2,393.08,1.26,37,71,10,2.6,0.1846
CUS-00038,ธีรวุฒิ ไทไชโย,M,65+,bronze,2024-07-06,STR-005,M > 65+ > bronze,34,9537.01,280.5,1.06,136,29,10,2.47,0.2647
CUS-00039,อัญพัชร์ บินดี,F,46-55,silver,2020-06-12,STR-007,F > 46-55 > silver,91,48292.09,530.68,1.2,15,60,10,3.38,0.2418
CUS-00040,อุลัยพร ธัญเสถียร,F,56-65,bronze,2021-01-09,STR-004,F > 56-65 > bronze,47,20955.74,445.87,1.02,3,36,10,2.32,0.1702
CUS-00041,กุลภาวลัย ศาสตร์ศิลป์,Other,56-65,silver,2020-03-25,STR-005,Other > 56-65 > silver,88,41765.18,474.6,1.17,181,56,10,3.43,0.1932
CUS-00042,ศศิรินทร์ น้ำทิพย์,F,26-35,silver,2024-12-16,STR-005,F > 26-35 > silver,108,49138.79,454.99,1.26,16,64,10,2.85,0.1574
CUS-00043,วรนาฎ นิยมเซียม,M,56-65,silver,2025-07-07,STR-002,M > 56-65 > silver,101,42769.09,423.46,1.2,27,59,10,2.95,0.2178
CUS-00044,ธีรลักษณ์ ทวนไชย์,F,46-55,bronze,2021-03-04,STR-003,F > 46-55 > bronze,48,18529.46,386.03,1.12,38,38,10,3.02,0.1875
CUS-00045,จิณภัทตา หอมสิน,M,65+,silver,2024-06-28,STR-009,M > 65+ > silver,103,45914.62,445.77,1.24,49,64,10,2.8,0.1942
CUS-00046,ณาร์รีมาน ถมปัด,M,18-25,bronze,2023-08-17,STR-002,M > 18-25 > bronze,48,24014.7,500.31,1.17,210,36,10,3.06,0.1458
CUS-00047,กุลดิลก ดวงทับทิม,Other,46-55,gold,2020-01-05,STR-009,Other > 46-55 > gold,129,55026.23,426.56,1.19,79,68,10,3.09,0.2481
CUS-00048,ศุภกรชนา ไม้แดง,F,18-25,bronze,2024-01-21,STR-010,F > 18-25 > bronze,48,21011.41,437.74,1.04,11,38,10,2.56,0.2292
CUS-00049,พัชรพร จันอ้น,F,65+,silver,2020-07-30,STR-004,F > 65+ > silver,88,27920.46,317.28,1.17,67,58,10,2.59,0.1932
CUS-00050,ศุภกรชนา นะวะมันดร,M,26-35,platinum,2024-11-29,STR-008,M > 26-35 > platinum,260,110254.65,424.06,1.44,8,91,10,2.65,0.2077
CUS-00051,เชิงชาย บุญบำรุง,M,65+,silver,2022-09-07,STR-003,M > 65+ > silver,99,43601.64,440.42,1.21,17,63,10,2.74,0.1919
CUS-00052,รวิวาน ฉัตรอภิเที่ยงค่ำ,M,18-25,silver,2021-01-16,STR-004,M > 18-25 > silver,94,45569.16,484.78,1.27,25,61,10,2.82,0.1702
CUS-00053,เทอดศักดิ์ นิลวิมล,Other,18-25,silver,2021-04-26,STR-003,Other > 18-25 > silver,92,36133.34,392.75,1.12,35,57,10,2.89,0.163
CUS-00054,อลิษา นรวิทย์โชติกุล,F,65+,bronze,2023-01-24,STR-007,F > 65+ > bronze,58,28972.4,499.52,1.14,204,45,10,3.38,0.1207
CUS-00055,ภานุพล เธียรายัน,F,46-55,bronze,2021-08-15,STR-007,F > 46-55 > bronze,45,14349.37,318.87,1.18,7,40,10,2.8,0.1778
CUS-00056,อาแอเสาะ ตั้งรบ,M,56-65,silver,2021-07-13,STR-002,M > 56-65 > silver,96,46999.44,489.58,1.13,83,56,10,3.16,0.1562
CUS-00057,พรชนก ถนัดอักษร,M,46-55,bronze,2025-09-10,STR-005,M > 46-55 > bronze,53,28072.45,529.67,1.04,25,43,10,3.11,0.1887
CUS-00058,นุจรี นิระหานี,F,36-45,gold,2025-06-28,STR-003,F > 36-45 > gold,151,58236.15,385.67,1.29,23,75,10,2.68,0.1854
CUS-00059,หลักทรัพย์ ศรีวงค์,M,46-55,bronze,2024-03-25,STR-008,M > 46-55 > bronze,44,18215.39,413.99,1.02,254,37,10,2.48,0.2273
CUS-00060,ทองรัตน์ เตมิยะเดช,F,26-35,platinum,2022-09-05,STR-010,F > 26-35 > platinum,224,100406.76,448.24,1.45,0,88,10,2.95,0.1964
CUS-00061,เจตธนากร ถาวรรัตน,M,46-55,bronze,2025-04-21,STR-007,M > 46-55 > bronze,44,18374.12,417.59,1.13,74,33,10,2.66,0.1818
CUS-00062,ณัฐติญา นฤทุกข์,M,65+,gold,2021-09-15,STR-008,M > 65+ > gold,141,55232.83,391.72,1.23,10,74,10,2.93,0.2057
CUS-00063,ณัฐติญา ตัณสถิตย์,Other,26-35,silver,2023-09-21,STR-002,Other > 26-35 > silver,109,49599.8,455.04,1.21,93,62,10,3.23,0.2294
CUS-00064,ใจกลาง แนวพญา,F,46-55,bronze,2025-02-14,STR-001,F > 46-55 > bronze,62,25420.38,410.01,1.13,37,47,10,2.63,0.2097
CUS-00065,ผดุงชาติ ฉัตรอภิเที่ยงค่ำ,F,46-55,gold,2021-09-24,STR-002,F > 46-55 > gold,156,61979.54,397.3,1.24,6,78,10,2.69,0.2051
CUS-00066,ศจีกาญจน์ ถ้วนศรี,F,36-45,bronze,2024-06-16,STR-002,F > 36-45 > bronze,53,20876.4,393.89,1.18,162,43,10,2.64,0.1887
CUS-00067,ใกล้รุ่ง ติณรัตน์,F,65+,gold,2024-04-05,STR-006,F > 65+ > gold,143,64858.11,453.55,1.44,75,69,10,2.83,0.2168
CUS-00068,นิวิลดาน ธรรมนิยม,F,46-55,gold,2020-05-27,STR-010,F > 46-55 > gold,144,53055.08,368.44,1.36,52,76,10,2.76,0.1736
CUS-00069,จิณภัทตา ดาบเพ็ชร์,M,65+,silver,2023-03-23,STR-004,M > 65+ > silver,112,49216.98,439.44,1.22,50,67,10,2.87,0.1518
CUS-00070,พันธุ์เทพ พงศ์ฉบับนภา,F,46-55,platinum,2021-02-15,STR-008,F > 46-55 > platinum,217,88790.11,409.17,1.36,7,84,10,2.88,0.1889
CUS-00071,ยุลิน ทองลาภ,M,36-45,platinum,2020-07-07,STR-006,M > 36-45 > platinum,225,95215.04,423.18,1.37,25,89,10,2.92,0.1911
CUS-00072,ฌาฆีภัตฐ์ ไชยภา,F,36-45,bronze,2024-10-30,STR-003,F > 36-45 > bronze,39,14441.57,370.3,1.03,236,28,10,2.97,0.1538
CUS-00073,วิสาร ทองอยู่,M,46-55,silver,2022-01-07,STR-003,M > 46-55 > silver,100,38233.18,382.33,1.16,96,61,10,2.95,0.16
CUS-00074,อัษฏา วะคีมัน,M,56-65,gold,2022-09-13,STR-008,M > 56-65 > gold,148,74152.76,501.03,1.17,7,74,10,3.06,0.1554
CUS-00075,เนตรฤดี นิลวรรณ,F,26-35,bronze,2022-11-06,STR-008,F > 26-35 > bronze,41,25045.3,610.86,1.11,50,36,10,3.12,0.1707
CUS-00076,จีรยุทธ ทองปากน้ำ,M,18-25,gold,2025-03-20,STR-005,M > 18-25 > gold,137,59128.73,431.6,1.25,21,74,10,2.83,0.1533
CUS-00077,เมทนี เลิศกิ่ง,F,26-35,bronze,2023-11-16,STR-010,F > 26-35 > bronze,50,21485.53,429.71,1.11,26,39,10,2.86,0.18
CUS-00078,พีรพัฒน์ ตวงทอง,M,46-55,silver,2025-02-14,STR-005,M > 46-55 > silver,87,42315.42,486.38,1.28,51,58,10,3.25,0.2069
CUS-00079,จันทนา ทุมะบุตร์,M,46-55,gold,2021-03-12,STR-004,M > 46-55 > gold,169,72674.09,430.02,1.34,27,82,10,2.99,0.1538
CUS-00080,สุพนธ์ ตราชู,M,36-45,silver,2023-04-24,STR-001,M > 36-45 > silver,91,47960.61,527.04,1.18,49,61,10,2.73,0.2088
CUS-00081,อรรจน์ เตมิยะเดช,Other,65+,bronze,2020-02-03,STR-010,Other > 65+ > bronze,54,19212.48,355.79,1.08,134,40,10,2.59,0.1667
CUS-00082,หลี เพียยา,F,65+,platinum,2025-07-27,STR-005,F > 65+ > platinum,249,111351.93,447.2,1.48,22,88,10,2.84,0.1727
CUS-00083,จักรกฤนาย นิระหานี,F,26-35,silver,2023-12-14,STR-004,F > 26-35 > silver,106,35866.57,338.36,1.23,8,62,10,2.49,0.2358
CUS-00084,อุดมลักษณ์ เช้าวันดี,F,56-65,bronze,2021-07-14,STR-002,F > 56-65 > bronze,47,32307.59,687.4,1.27,27,40,10,3.32,0.1915
CUS-00085,นัฐพล ทองลาภ,F,65+,bronze,2024-12-10,STR-001,F > 65+ > bronze,49,22650.04,462.25,1.11,8,38,10,3.02,0.2653
CUS-00086,เอนกพงศ์ ตั้งรบ,F,65+,bronze,2023-04-23,STR-006,F > 65+ > bronze,49,25593.91,522.32,1.0,219,36,10,3.35,0.0612
CUS-00087,สุธาวี เจริญรัมย์,F,26-35,bronze,2024-02-07,STR-009,F > 26-35 > bronze,47,22337.35,475.26,1.09,145,39,10,3.38,0.1915
CUS-00088,ศุภาศิล กุมารบุญ,F,36-45,gold,2022-11-18,STR-008,F > 36-45 > gold,120,54762.76,456.36,1.3,38,72,10,3.14,0.1917
CUS-00089,ภานุพล สันตะวงศ์,Other,36-45,gold,2023-10-19,STR-002,Other > 36-45 > gold,144,68300.21,474.31,1.29,81,72,10,2.92,0.1944
CUS-00090,มารุด ทองอยู่,F,18-25,bronze,2022-07-13,STR-007,F > 18-25 > bronze,35,10637.0,303.91,1.03,206,30,10,2.66,0.2286
CUS-00091,ธีรวัช ตรีเภรินทร์,Other,56-65,bronze,2024-06-04,STR-001,Other > 56-65 > bronze,61,28341.38,464.61,1.11,33,50,10,2.9,0.1639
CUS-00092,ปัตถพงษ์ อัตตนาถ,M,18-25,silver,2022-12-09,STR-010,M > 18-25 > silver,88,40783.87,463.45,1.16,38,56,10,2.9,0.2159
CUS-00093,ฐิติกุล บุญศล,M,65+,platinum,2021-03-19,STR-004,M > 65+ > platinum,239,105128.41,439.87,1.44,79,88,10,2.96,0.2218
CUS-00094,พิมพ์สุดา ถนัดอาวุธ,F,56-65,gold,2023-09-05,STR-010,F > 56-65 > gold,151,60564.78,401.09,1.2,38,79,10,2.66,0.1523
CUS-00095,จักรกฤนาย นากกนก,M,18-25,silver,2025-03-16,STR-005,M > 18-25 > silver,87,36523.3,419.81,1.14,71,57,10,2.7,0.2299
CUS-00096,กิติยาธรณ์ สงประเสริฐ,F,18-25,bronze,2020-06-01,STR-005,F > 18-25 > bronze,45,13910.04,309.11,1.12,119,36,10,2.31,0.1778
CUS-00097,จิม หิรัญสาลี,Other,18-25,bronze,2021-07-09,STR-007,Other > 18-25 > bronze,49,19453.52,397.01,1.09,156,39,10,3.41,0.2857
CUS-00098,วสิตา ตรีครุธพันธุ์,F,65+,platinum,2024-09-12,STR-010,F > 65+ > platinum,235,110787.03,471.43,1.39,23,88,10,2.83,0.1745
CUS-00099,ณัฐพิชา ฉัตรอภิเที่ยงค่ำ,F,26-35,gold,2021-02-09,STR-008,F > 26-35 > gold,148,67235.51,454.29,1.31,1,87,10,2.75,0.2095
CUS-00100,สิทธัญ ดัตพันธุ์,F,36-45,bronze,2024-02-26,STR-004,F > 36-45 > bronze,39,14119.55,362.04,1.03,39,31,10,2.49,0.2051
CUS-00101,ฐิติกุล นาคสุทิน,M,26-35,gold,2021-02-10,STR-006,M > 26-35 > gold,142,55445.24,390.46,1.22,51,75,10,2.57,0.169
CUS-00102,ทินพร ฉิมพาลี,F,65+,bronze,2024-06-18,STR-005,F > 65+ > bronze,49,22545.66,460.12,1.09,49,40,9,3.35,0.1633
CUS-00103,นาตยา นากกนก,M,18-25,platinum,2025-02-05,STR-002,M > 18-25 > platinum,243,117220.05,482.39,1.46,0,86,10,2.95,0.1646
CUS-00104,อธิตยา ถนอมกุลบุตร,F,65+,silver,2020-03-28,STR-001,F > 65+ > silver,99,38469.3,388.58,1.16,48,60,10,2.66,0.1515
CUS-00105,นิวิลดาน บัวเผื่อน,F,26-35,platinum,2022-04-20,STR-002,F > 26-35 > platinum,241,105919.64,439.5,1.36,10,86,10,2.92,0.2116
CUS-00106,พัชรพร ถนอมพลกรัง,F,56-65,bronze,2022-06-03,STR-004,F > 56-65 > bronze,49,15719.32,320.8,1.17,113,40,10,2.61,0.2245
CUS-00107,ธนกิตต์ นิลเสนา,M,26-35,gold,2020-01-12,STR-005,M > 26-35 > gold,150,60972.25,406.48,1.27,49,75,10,2.81,0.16
CUS-00108,อภิลักษณ์ ถนัดอาวุธ,F,26-35,platinum,2022-10-23,STR-003,F > 26-35 > platinum,219,87867.65,401.22,1.34,50,88,10,2.77,0.2192
CUS-00109,กวีฉัฏฐ ไทนิยม,M,18-25,bronze,2024-01-07,STR-004,M > 18-25 > bronze,41,17252.44,420.79,1.05,39,37,10,2.59,0.1707
CUS-00110,ฉลองชัย นครเทพ,F,18-25,bronze,2020-08-02,STR-003,F > 18-25 > bronze,45,20936.88,465.26,1.05,50,34,10,2.91,0.1778
CUS-00111,กุลภาวลัย ถนอมพลกรัง,F,56-65,bronze,2020-09-17,STR-008,F > 56-65 > bronze,44,15597.01,354.48,1.13,204,34,10,2.45,0.25
CUS-00112,อณัฐตา ถิรสวัสดิ์,M,36-45,silver,2021-03-22,STR-008,M > 36-45 > silver,98,45837.57,467.73,1.24,16,65,10,3.09,0.1327
CUS-00113,ศุภนุนาย เตชะกำพุ,F,56-65,bronze,2025-11-05,STR-005,F > 56-65 > bronze,57,29205.41,512.38,1.06,8,39,10,2.93,0.0877
CUS-00114,มาโนชญ์ ดุริยพันธุ์,F,18-25,bronze,2025-05-15,STR-007,F > 18-25 > bronze,52,26307.41,505.91,1.11,7,42,10,3.06,0.1154
CUS-00115,ลัดดา นพตระกูล,M,18-25,silver,2024-12-21,STR-002,M > 18-25 > silver,93,39208.09,421.59,1.26,50,60,10,2.87,0.172
CUS-00116,ตรีนุช เพียยา,F,36-45,silver,2020-09-26,STR-003,F > 36-45 > silver,95,37120.21,390.74,1.14,26,59,10,2.66,0.2105
CUS-00117,นิภา มนทอง,M,65+,silver,2023-08-24,STR-007,M > 65+ > silver,88,36157.02,410.88,1.14,66,60,10,2.69,0.2273
CUS-00118,อณัฐตา นิลสลัว,Other,56-65,bronze,2025-09-01,STR-010,Other > 56-65 > bronze,57,22368.52,392.43,1.04,68,37,10,2.72,0.1404
CUS-00119,อรจิรา วุฑฒยากร,M,65+,bronze,2022-05-30,STR-007,M > 65+ > bronze,41,21819.23,532.18,1.08,50,33,10,3.29,0.1951
CUS-00120,ภานุพล ด้วงโสน,F,26-35,silver,2025-01-31,STR-007,F > 26-35 > silver,95,33558.26,353.24,1.17,65,63,10,2.75,0.1368
CUS-00121,พิมพ์ประภา นฤทุกข์,M,18-25,bronze,2023-07-04,STR-005,M > 18-25 > bronze,51,23069.31,452.34,1.02,49,40,10,3.02,0.1569
CUS-00122,ภูวรา ถนัดการยนต์,M,26-35,silver,2025-04-26,STR-002,M > 26-35 > silver,82,27792.49,338.93,1.26,17,55,10,2.37,0.2073
CUS-00123,พรเบญญา ถาวระวรณ์,M,18-25,bronze,2021-01-30,STR-006,M > 18-25 > bronze,51,20531.75,402.58,1.06,1,39,10,3.43,0.3137
CUS-00124,ประจิน นิติสาขา,F,56-65,bronze,2023-09-12,STR-002,F > 56-65 > bronze,56,25135.1,448.84,1.08,199,43,10,2.84,0.1429
CUS-00125,กุลปรียา ธรรมเมธา,M,65+,platinum,2024-09-28,STR-001,M > 65+ > platinum,227,105020.55,462.65,1.52,11,89,10,2.91,0.2115
CUS-00126,สุธินันท์ ศรีอุ่น,Other,56-65,bronze,2021-02-28,STR-010,Other > 56-65 > bronze,49,18390.55,375.32,1.09,286,38,10,3.24,0.1633
CUS-00127,ซุกรี นิติสาขา,F,26-35,silver,2022-07-07,STR-002,F > 26-35 > silver,91,42653.36,468.72,1.12,8,59,10,3.33,0.2198
CUS-00128,โรสชา ถนัดกลึง,M,56-65,bronze,2023-02-15,STR-010,M > 56-65 > bronze,52,17541.89,337.34,1.08,75,40,10,2.37,0.1538
CUS-00129,กระสุน ถะเกิงชศ,M,46-55,gold,2020-04-17,STR-010,M > 46-55 > gold,138,66204.62,479.74,1.28,7,71,10,2.99,0.2101
CUS-00130,ธีริสรา ถนอมพลกรัง,F,65+,bronze,2022-01-08,STR-005,F > 65+ > bronze,38,13326.53,350.7,1.03,50,33,10,3.0,0.1842
CUS-00131,พิมพกานต์ ทีฆะ,F,36-45,platinum,2023-12-08,STR-001,F > 36-45 > platinum,215,86855.39,403.98,1.45,7,87,10,2.64,0.1721
CUS-00132,ชรินทร์ทิพย์ แก้วอยู่,M,26-35,silver,2024-06-29,STR-002,M > 26-35 > silver,105,46467.0,442.54,1.19,38,59,10,2.82,0.219
CUS-00133,เฉลิมพล หนักแน่น,M,65+,platinum,2021-01-10,STR-009,M > 65+ > platinum,230,99801.08,433.92,1.45,6,82,10,2.67,0.1217
CUS-00134,จินต์จุฑา คณานุรักษ์,M,46-55,silver,2021-10-06,STR-006,M > 46-55 > silver,89,31125.58,349.73,1.22,107,62,10,2.88,0.236
CUS-00135,ฐิติยาพร นฤทุกข์,M,36-45,gold,2020-12-13,STR-001,M > 36-45 > gold,139,63581.63,457.42,1.2,69,74,10,3.01,0.1727
CUS-00136,สุไฮลัน ดาบเงิน,M,56-65,bronze,2020-11-30,STR-005,M > 56-65 > bronze,50,24073.07,481.46,1.09,34,39,10,3.08,0.16
CUS-00137,รภัสพงษ์ ทรัพย์ธำรงค์,M,46-55,silver,2024-12-15,STR-007,M > 46-55 > silver,98,43917.07,448.13,1.14,25,59,10,2.93,0.1735
CUS-00138,สิริ แถมธน,M,56-65,bronze,2024-10-26,STR-002,M > 56-65 > bronze,56,23852.17,425.93,1.12,118,44,10,2.75,0.25
CUS-00139,ปฐวีกานต์ เตมิยะเดช,M,65+,silver,2025-11-28,STR-005,M > 65+ > silver,105,42500.76,404.77,1.3,28,66,10,2.83,0.2571
CUS-00140,วิสาร ผลบุญ,M,46-55,platinum,2020-08-12,STR-001,M > 46-55 > platinum,219,96488.47,440.59,1.34,2,86,10,2.76,0.1918
CUS-00141,อุษณีย์ นามขำ,M,26-35,gold,2022-11-12,STR-005,M > 26-35 > gold,123,50266.69,408.67,1.18,21,75,10,2.82,0.1463
CUS-00142,โสภณิตา สาระพันธ์,M,18-25,silver,2024-10-29,STR-003,M > 18-25 > silver,89,30494.31,342.63,1.31,233,59,10,2.4,0.0787
CUS-00143,ศศิธร ดุษฎีวนิช,M,56-65,gold,2025-08-11,STR-009,M > 56-65 > gold,152,59795.19,393.39,1.23,26,80,10,2.69,0.2434
CUS-00144,สมใจ ทองสินธุ์,F,36-45,bronze,2020-06-22,STR-007,F > 36-45 > bronze,44,17325.09,393.75,1.02,111,34,10,2.45,0.1591
CUS-00145,นิติ บุญศล,M,18-25,gold,2024-10-24,STR-010,M > 18-25 > gold,138,69692.45,505.02,1.19,25,74,10,3.2,0.1232
CUS-00146,มณียา สาระพันธ์,M,65+,silver,2021-04-16,STR-007,M > 65+ > silver,113,44294.12,391.98,1.31,10,75,10,2.56,0.177
CUS-00147,เมษา นิลเสนา,M,36-45,bronze,2025-02-27,STR-006,M > 36-45 > bronze,56,24494.79,437.41,1.08,16,44,10,2.93,0.2143
CUS-00148,ภานุวัตร ดุริยพันธุ์,M,18-25,bronze,2024-06-28,STR-009,M > 18-25 > bronze,42,18674.74,444.64,1.05,26,34,10,2.64,0.1429
CUS-00149,สนั่น วิลาสินี,M,36-45,gold,2022-06-26,STR-006,M > 36-45 > gold,165,71947.83,436.05,1.3,54,80,10,2.84,0.1879
CUS-00150,วีร์สุดา ธนประทีป,F,18-25,silver,2021-04-12,STR-009,F > 18-25 > silver,114,47775.19,419.08,1.21,49,65,10,2.97,0.2632
CUS-00151,ปรมินทร์ มนทอง,F,36-45,bronze,2021-08-27,STR-004,F > 36-45 > bronze,49,16532.17,337.39,1.07,227,42,10,2.57,0.1837
CUS-00152,วิรชัย ถนัดหัตถกรรม,M,36-45,bronze,2021-09-18,STR-002,M > 36-45 > bronze,62,26355.74,425.09,1.17,6,40,10,2.95,0.1774
CUS-00153,ปิยะนันท์ ขุนดำ,M,65+,silver,2025-01-12,STR-010,M > 65+ > silver,100,40126.57,401.27,1.12,6,61,10,2.64,0.27
CUS-00154,สันชัย ถ้วนศรี,F,56-65,bronze,2023-07-18,STR-003,F > 56-65 > bronze,52,27890.86,536.36,1.06,25,41,10,3.29,0.2115
CUS-00155,ศศิธร ฉัตรอภิเที่ยงค่ำ,M,46-55,silver,2023-05-25,STR-005,M > 46-55 > silver,86,39024.61,453.77,1.13,37,56,10,2.73,0.2907
CUS-00156,วิรชัย นิยมธรรม,F,36-45,silver,2023-06-25,STR-008,F > 36-45 > silver,85,41064.8,483.12,1.09,16,54,10,2.72,0.2353
CUS-00157,บุญพา ยาปะโลหิต,F,18-25,bronze,2023-03-21,STR-002,F > 18-25 > bronze,59,23257.23,394.19,1.11,176,46,10,2.75,0.2203
CUS-00158,อรจิรา เขียวขุ้ย,F,18-25,silver,2025-09-07,STR-007,F > 18-25 > silver,102,43429.27,425.78,1.31,247,62,10,3.13,0.2157
